Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Quiroz, Yakeel T; Budson, Andrew E; Celone, Kim; Ruiz, Adriana; Newmark, Randall; Castrillón, Gabriel; Lopera, Francisco; Stern, Chantal E; ",Hippocampal hyperactivation in presymptomatic familial Alzheimer's disease,Annals of neurology,68,6,865-875,2010,Wiley Online Library
"Lendon, Corinne L; Martinez, Alonso; Behrens, Isabel Maria; Kosik, Kenneth S; Madrigal, Lucia; Norton, Joanne; Neuman, Rosalind; Myers, Amanda; Busfield, Frances; Wragg, Michelle; ",E280A PS‐1 mutation causes Alzheimer's disease but age of onset is not modified by ApoE alleles,Human mutation,10,3,186-195,1997,Wiley Online Library
"Arcos-Burgos, M; Castellanos, FX; Konecki, D; Lopera, F; Pineda, D; Palacio, JD; Rapoport, JL; Berg, K; Bailey-Wilson, J; Muenke, M; ",Pedigree disequilibrium test (PDT) replicates association and linkage between DRD4 and ADHD in multigenerational and extended pedigrees from a genetic isolate,Molecular psychiatry,9,3,252-259,2004,Nature Publishing Group
"Pineda, David A; Palacio, Luis Guillermo; Puerta, Isabel C; Merchán, Vilma; Arango, Clara P; Galvis, Astrid Yuleth; Gómez, Mónica; Aguirre, Daniel Camilo; Lopera, Francisco; Arcos-Burgos, Mauricio; ",Environmental influences that affect attention deficit/hyperactivity disorder,European child & adolescent psychiatry,16,5,337-346,2007,Springer
"Jain, Mahim; Palacio, Luis Guillermo; Castellanos, F Xavier; Palacio, Juan David; Pineda, David; Restrepo, Maria I; Muñoz, Juan F; Lopera, Francisco; Wallis, Deeann; Berg, Kate; ",Attention-deficit/hyperactivity disorder and comorbid disruptive behavior disorders: evidence of pleiotropy and new susceptibility loci,Biological psychiatry,61,12,1329-1339,2007,Elsevier
"Langbaum, Jessica B; Fleisher, Adam S; Chen, Kewei; Ayutyanont, Napatkamon; Lopera, Francisco; Quiroz, Yakeel T; Caselli, Richard J; Tariot, Pierre N; Reiman, Eric M; ",Ushering in the study and treatment of preclinical Alzheimer disease,Nature Reviews Neurology,9,7,371-381,2013,Nature Publishing Group
"D PALACIO, JUAN; Castellanos, F Xavier; Pineda, David A; Lopera, Francisco; Arcos-Burgos, Mauricio; T QUIROZ, YAKEEL; Henao, Gloria C; Puerta, Isabel C; Ramirez, Dora L; Rapoport, Judith L; ",Attention-deficit/hyperactivity disorder and comorbidities in 18 Paisa Colombian multigenerational families,Journal of the American Academy of Child & Adolescent Psychiatry,43,12,1506-1515,2004,Elsevier
"Arboleda–Velasquez, JF; Lopera, F; Lopez, E; Frosch, MP; Sepulveda–Falla, D; Gutierrez, JE; Vargas, S; Medina, M; De Arrieta, C Martinez; Lebo, RV; ",C455R notch3 mutation in a Colombian CADASIL kindred with early onset of stroke,Neurology,59,2,277-279,2002,AAN Enterprises
"Pineda-Trujillo, Nicolas; Carvajal-Carmona, Luis G; Buriticá, Omar; Moreno, Sonia; Uribe, Carlos; Pineda, David; Toro, Maria; Garcı́a, Francisco; Arias, William; Bedoya, Gabriel; ",A novel Cys212Tyr founder mutation in parkin and allelic heterogeneity of juvenile Parkinsonism in a population from North West Colombia,Neuroscience letters,298,2,87-90,2001,Elsevier
"Arboleda-Velasquez, Joseph F; Manent, Jan; Lee, Jeong Hyun; Tikka, Saara; Ospina, Carolina; Vanderburg, Charles R; Frosch, Matthew P; Rodríguez-Falcón, Manuel; Villen, Judit; Gygi, Steven; ",Hypomorphic Notch 3 alleles link Notch signaling to ischemic cerebral small-vessel disease,Proceedings of the National Academy of Sciences,108,21,E128-E135,2011,National Acad Sciences
